TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS)
256364928,4470.01,,5,5,5,5,5,5,5,1272.7,2842.1,0,0,1,KP,KP,6.8481,0.006,1,qlp,SPOC/QLP,300.182122,22.709776,-3.294,0.043,-250.225,0.049,2459444.28,0.0000528,2.2185706,0.0000066,1.507,0.002,29.327417,0.000018,26650,0.0167344,13.5327,0.968906,155.633,983,1236,19.7638,0.01275,5023,142.5,4.58,0.1,0.78,0.06,0.02,0.1,0.84,0.10566,41,HD 189733 b,2021/10/7,2021/10/6,2021/10/29
68081952,4977.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,12.5156,0.006,1,qlp-s38-faintsearch,QLP,193.460711,-54.345963,-45.068,0.038,14.374,0.03,2459355.339,0.00056,7.7023687,0.0000086,2.321,0.167,30.063872,0.009009,27310,8.29714,14.6181,0.872631,44.8696,721,93,294.629,3.632,5333,128.6,4.55,0.08,0.85,0.05,,,0.92,0.116953,"11,37,38",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
457018819,4938.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,12.4741,0.006,1,qlp-s38-faintsearch,QLP,201.741869,-55.915198,-9.414,0.037,-4.69,0.043,2459357.455,0.0023287,2.913692,0.0000177,2.665,0.191,22.078847,0.034672,20130,31.9336,13.5499,0.870113,586.602,1371,79,377.703,3.6995,5816,128.5,4.49,0.07,0.97,0.04,,,1.05,0.129854,"11,38",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
335590096,4860.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,13.7726,0.008,1,qlp-s36-faintsearch,QLP,183.563961,-13.174841,-177.244,0.211,-5.516,0.165,2459304.246,0.0005869,1.5229985,0.0000704,1.196,0.156,64.9419,0.113262,58060,104.313,8.99483,0.485033,37.1159,687,66,80.1423,0.643,3237,157,4.87,,0.35,0.01,,,0.337566,0.0205314,36,found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
420202798,4961.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,11.6602,0.006,1,qlp-s38-faintsearch,QLP,192.501862,-59.891934,2.975,0.04,-17.996,0.042,2459353.8,0.0009715,7.4791873,0.00002,3.126,0.114,13.855164,0.004018,12680,3.70096,11.0113,0.704087,70.1254,806,61,213.073,1.3625,5078,129.2,4.39,0.08,0.97,0.06,,,0.85,0.0967173,"11,37,38",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
82739585,4819.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,13.0819,0.006,1,qlp-s35-faintsearch,QLP,124.904596,-43.057211,8.222,0.03,-9.535,0.036,2459277.36,0.0008696,1.5889429,0.0000483,1.183,0.215,24.741407,0.614897,22530,566.181,14.0293,,399.352,1245,55,319.863,1.801,5150,122,4.57,,0.8,,,,0.87,,"34,35",V-shaped; found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
332017079,4945.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,13.184,0.007,1,qlp-s38-faintsearch,QLP,215.249404,-53.136559,-18.336,0.07,-7.076,0.071,2459357.97,0.0019274,1.6500255,0.0000062,2.937,0.189,15.605064,1.257957,14270,1157.95,18.0511,,9993.06,2785,45,650.297,13.44,6449,122,4.44,,1.15,,,,1.31,,"11,38",V-shaped; found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
74712191,4852.01,TIC 74712191.01,3,4,3,3,4,4,4,,,0,0,0,PC,,11.8422,0.007,1,qlp-s36-faintsearch,QLP,137.795138,-42.518066,-15.257,0.046,3.23,0.049,2459304.797,0.0011417,7.2307407,0.0000145,4.646,0.325,8.655152,0.002101,7940,1.93488,13.364,0.498144,1009.89,1570,44,603.347,10.71,7747,135.2,4.39,0.08,1.43,0.05,,,1.83,0.289775,"8,9,35,36",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
49254857,4914.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,11.6629,0.012,1,qlp-s37-faintsearch,QLP,204.542672,-28.142921,-13.357,0.066,-15.313,0.057,2459317.273,0.0009292,10.5988743,0.0013519,1.638,0.205,14.119119,0.013039,12920,12.0092,12.6054,0.772646,18.1082,574,43,299.89,3.4375,5809.9,123.1,4.42,0.08,1.04,0.05,-0.166743,0.0825371,1.04,0.132074,37,found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
92004082,4890.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,11.6042,0.006,1,qlp-s37-faintsearch,QLP,172.065775,-49.667865,-15.449,0.046,2.357,0.045,2459328.767,0.0010477,3.0475227,0.0003807,2.953,0.15,9.060165,0.002523,8310,2.32331,14.8539,0.720619,1293.5,1670,36,575.512,10.093,6823,131.9,4.19,0.09,1.6,0.07,,,1.47,0.258106,37,found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
453060368,4841.01,TIC 453060368.01,3,4,3,3,4,4,4,,,0,0,0,PC,,12.7964,0.016,1,qlp-s35-faintsearch,QLP,145.897267,0.615029,-28.137,0.088,11.11,0.071,2459271.895,0.0016971,9.6284672,0.0000266,3.554,0.137,19.710224,0.007382,17990,6.79878,11.9294,0.805713,66.4905,795,35,355.116,6.0045,5388.3,115.4,4.53,0.08,0.88,0.06,-0.686383,0.0216809,0.94,0.118016,"8,35",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
412635642,4935.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,11.5845,0.006,1,qlp-s38-faintsearch,QLP,193.181287,-58.931711,-0.9,4.6,0.5,4.2,2459333.236,0.0017143,17.4230202,0.0000635,3.802,0.155,10.22131,0.005018,9370,4.62129,13.3223,,45.6259,,35,458.015,,6282,,,,1.37,,,,,,"11,37,38",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
457743020,4886.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,12.9004,0.007,1,qlp-s37-faintsearch,QLP,158.261633,-57.281506,-12.973,0.029,3.519,0.03,2459327.582,0.0010689,3.251249,0.0000089,2.123,0.293,13.151596,0.01749,12040,16.1091,19.6899,1.12885,706.995,1436,34,997.825,17.9015,6951,136.5,4.18,0.09,1.66,0.07,,,1.52,0.245933,"10,36,37",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
397522142,4973.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,10.7271,0.006,1,qlp-s38-faintsearch,QLP,158.574934,-71.204192,0.63,0.044,-4.745,0.039,2459354.079,0.0004803,7.9486299,0.0000099,1.29,0.229,6.905481,0.009976,6340,9.18865,9.54103,0.579988,34.816,676,34,178.064,0.7605,5742,124,4.51,0.08,0.93,0.05,0.00188596,0.0892368,1.03,0.128498,"10,37,38",V-shaped; found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
458331312,4882.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,11.2673,0.006,1,qlp-s37-faintsearch,QLP,159.546802,-54.579059,-22.062,0.05,8.013,0.04,2459329.594,0.0012387,4.4360402,0.0000188,2.438,0.269,7.670615,0.007044,7040,6.4873,11.7883,0.65443,410.649,1254,33,408.748,4.814,6633,132.4,4.29,0.09,1.39,0.06,,,1.39,0.236382,"10,36,37",found in faint-star QLP search; possibly on neighbor TIC 458331314,2021/12/21,2021/12/21,2021/12/21
148478039,4974.01,TIC 148478039.01,3,4,3,3,4,4,4,,,0,0,0,PC,,12.7126,0.006,1,qlp-s38-faintsearch,QLP,230.322481,-38.832914,4.191,1.178,-3.627,1.178,2459348.687,0.0016059,10.6006859,0.0000396,3.663,0.157,17.799173,0.010192,16260,9.3875,,,107.932,897,33,782.916,,6303.2,496.1,,,,,,,,,"11,38",found in faint-star QLP search; no stellar radius,2021/12/21,2021/12/21,2021/12/21
464388115,4904.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,12.5927,0.007,1,qlp-s37-faintsearch,QLP,156.222381,-56.950477,-5.923,0.053,2.609,0.047,2459331.41,0.0011294,2.4118274,0.0000058,1.722,0.242,10.089797,0.008613,9250,7.93282,19.2999,1.21375,2090.41,1883,32,1470.83,73.74,8765,166.3,4.21,0.08,1.92,0.11,,,2.2,0.31697,"9,10,36,37",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
35972578,4857.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,13.1051,0.006,1,qlp-s36-faintsearch,QLP,149.242428,-43.384703,-10.011,0.028,-14.029,0.034,2459304.812,0.0016774,1.8881146,0.0000061,2.761,0.377,9.848732,0.007316,9030,6.73859,13.7957,,2630.38,1995,31,849.5,13.8315,6309,122,4.23,,1.42,,,,1.24,,"9,36",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
262499797,4858.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,14.8083,0.008,1,qlp-s36-faintsearch,QLP,109.880143,-55.728421,54.385,0.124,-92.48,0.092,2459303.196,0.0012736,1.7508811,0.0000923,1.13,0.159,68.185715,0.288357,60870,265.551,12.2167,0.88106,27.3999,637,31,193.977,2.033,3333,157,4.79,0.01,0.44,0.01,,,0.439909,0.0207054,"35,36",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
447054140,4877.01,,3,4,3,3,4,4,4,,,0,0,0,PC,,12.2316,0.006,1,qlp-s37-faintsearch,QLP,156.66238,-52.23695,-14.404,0.047,4.465,0.047,2459330.373,0.0017429,5.2220526,0.000017,4.243,0.217,5.278632,0.001495,4850,1.37701,12.0807,0.581877,896.671,1524,31,713.47,14.5485,6718,134.4,4.15,0.09,1.67,0.07,,,1.43,0.252908,"9,10,36,37",found in faint-star QLP search,2021/12/21,2021/12/21,2021/12/21
