TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS)
231663901,101.01,,5,5,5,5,5,5,5,87.6,211.2,0,1,3,KP,KP,12.4069,0.006,1,spoc,UNKNOWN,318.737012,-55.871863,12.641,0.044,-16.011,0.041,2459036.904,0.000392664,1.43036914,9.23E-07,1.643872832,0.018756187,20.994855,0.2144,19151.21621,197.45049,13.25049334,0.66068995,1281.241792,1525.905097,109.60649,375.31,4.411,5600,,4.48851,,0.890774012,0.0438467,,,1.05,0.129454,"1,27",WASP-46 b,2018/9/5,2021/10/7,2022/8/19
149603524,102.01,,5,5,5,5,5,5,5,132.7,169.9,1,2,1,KP,KP,9.7109,0.006,1,qlp,UNKNOWN,87.139821,-63.988329,-15.641,0.037,26.046,0.037,2459384.943,0.0013867,4.4119288,0.0000158,3.894,0.08,16.177972,0.00117,14790,1.07767,15.2023,0.692849,999.833,1566,863,175.631,0.588,6280,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",WASP 62 b,2019/5/7,2021/8/24,2022/8/19
144065872,105.01,,5,5,5,5,5,5,5,187.2,431.1,1,3,2,KP,KP,9.4995,0.006,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,337.457824,-48.003099,91.976,0.052,-6.861,0.069,2459084.585,0.00011,2.184666949,4.85E-07,2.865280016,0.009074817,12.786825,0.037924,11708.02285,34.928566,13.70285267,0.66197515,1362.138143,1549.44098,349.33414,137.544,0.7905,5630,,4.37759,,1.238240004,0.0596985,,,1.03,0.127209,"1,28",WASP-95; epoch kept from qlp-s28-tois,2018/9/5,2021/12/8,2022/8/19
38846515,106.01,,5,5,5,5,5,5,5,88.7,107.5,1,0,3,KP,KP,10.3157,0.006,1,qlp,UNKNOWN,68.959816,-64.027039,10.845,0.035,-0.499,0.052,2459386.715,0.0004872,2.8493824,0.0000042,3.806,0.532,8.425347,0.000295,7730,0.272068,16.4149,0.742397,3854.88,2195,657,364.411,2.729,6900,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",WASP-100b,2019/5/7,2021/8/26,2022/8/19
92352620,107.01,,5,5,5,5,5,5,5,166,236.6,0,1,3,KP,KP,9.6433,0.006,1,spoc,UNKNOWN,313.783239,-34.135751,26.376,0.078,-44.947,0.059,2459039.336,0.000386352,3.950200943,1.60E-06,4.564364232,0.018132707,14.00227,0.064564,12813.76293,59.46348,19.70589594,0.8632607,1364.08984,1549.995699,201.10165,211.211,2.4835,6153,,4.18077,,1.71036005,0.074613,0.22,0.1,1.14,0.150731,"1,27",WASP-94 A b,2018/9/5,2021/10/7,2022/8/17
388104525,112.01,,5,5,5,5,5,5,5,77,179,1,1,3,KP,KP,11.6035,0.006,1,spoc,UNKNOWN,55.933639,-65.19378,21.126,0.032,16.543,0.043,2459307.333,0.000456858,2.499799598,4.42E-07,2.865171019,0.009780298,15.991971,0.041631,14621.20596,38.342907,13.85160928,0.7051293,907.8624196,1399.989438,375.26334,302.448,2.004,5650,,4.28867,,1.137320042,0.0577764,,,1,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",WASP-119 b,2019/5/7,2021/12/2,2022/8/19
25155310,114.01,,5,5,5,5,5,5,5,53.5,161.8,0,1,3,KP,KP,10.6103,0.006,1,spoc,UNKNOWN,63.374706,-69.226593,63.134,0.045,53.433,0.039,2459363.488,0.000529079,3.288787761,5.28E-07,3.416360176,0.010019712,7.610576,0.016621,6985.089176,15.308442,10.43546273,0.51484174,759.3379892,1338.839545,430.25754,216.526,0.932,5800,,4.28004,,1.241750002,0.0610804,0.20683,0.0458093,1.01,0.123355,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",WASP-126 b,2019/5/7,2021/12/2,2022/8/19
238176110,116.01,,5,5,5,5,5,5,5,98.8,251.1,1,0,3,KP,KP,11.0443,0.006,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,357.846434,-70.152862,96.185,0.041,-1.747,0.038,2459037.528,0.00025644,2.798579441,6.31E-07,2.340143568,0.013552006,18.286614,0.068604,16701.55025,63.18423,11.76407524,0.72200364,332.5563668,1089.145913,275.6213,149.942,0.5175,4920,,4.49371,,0.906655014,0.0553769,0.32,0.08,0.81,0.0958693,"1,27,28",WASP-91 b,2018/9/5,2021/12/9,2022/8/19
207081058,121.01,,5,5,5,5,3,5,5,60.6,114.4,1,1,1,PC,APC,9.9358,0.006,1,qlp,UNKNOWN,331.867517,-41.815511,49.561,0.042,-9.678,0.057,2459074.329,0.01323,14.76367,0.00027,6.143,0.188,15.89148,0.001088,14530,1.00224,15.9573,0.764266,234.125,1089,119,182.169,1.0865,6053,193,4.3135,0.321619,1.23,0.06,,,1.14,0.149653,"1,28",low-mass EB; initially thought to be a warm Jupiter candidate with a possible secondary,2018/9/5,2020/10/27,2022/8/19
290131778,123.01,,3,5,5,5,4,5,3,194.3,218.6,3,21,14,CP,CP,7.87598,0.011,1,spoc,SPOC/QLP,319.699588,-26.616374,23.236,0.157,-57.557,0.152,2458325.375,0.000163577,3.308877305,1.39E-06,5.662132972,0.019520499,4.338637,0.021309,3988.058581,19.626034,17.21500152,0.871801,4557.498246,2095.566162,185.80734,161.498,2.4235,6188,194,4.27166,2.00586,2.623919964,0.132412,,,1.263,0.201024,"1,28",HD 202772 A b,2018/9/5,2021/10/20,2022/8/19
