TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
101.01,,1.43036914,13.25049334,1525.905097,109.60649,375.31,5600,0.890774012,1.05
102.01,,4.4119288,15.2023,1566,863,175.631,6280,1.21,1.28
105.01,,2.184666949,13.70285267,1549.44098,349.33414,137.544,5630,1.238240004,1.03
106.01,,2.8493824,16.4149,2195,657,364.411,6900,1.77,1.44
107.01,,3.950200943,19.70589594,1549.995699,201.10165,211.211,6153,1.71036005,1.14
112.01,,2.499799598,13.85160928,1399.989438,375.26334,302.448,5650,1.137320042,1
114.01,,3.288787761,10.43546273,1338.839545,430.25754,216.526,5800,1.241750002,1.01
116.01,,2.798579441,11.76407524,1089.145913,275.6213,149.942,4920,0.906655014,0.81
121.01,,14.76367,15.9573,1089,119,182.169,6053,1.23,1.14
123.01,,3.308877305,17.21500152,2095.566162,185.80734,161.498,6188,2.623919964,1.263
129.01,,0.980980684,5.916292333,1320.951709,167.35898,61.7856,4486,0.764401019,0.7
135.01,,4.12691,16.98,1719,294,196.852,6888,1.59,1.46
143.01,,2.310968898,17.30428,2068.197749,189.12912,298.109,6371,1.954110026,1.336
147.01,,3.42317,68.4147,1672,124,820.079,5620.9,2.61,1
150.01,,5.857407538,13.88927615,1335.11434,157.52177,336.267,5982.9,1.679870009,1.1
157.01,,2.0845398,13.0435,1246,402,355.683,5638,1.11,1
159.01,,3.76284143,17.33058674,1660.759467,195.15567,347.593,6979.2,1.587460041,1.53
163.01,,4.231115302,14.53562272,1584.352097,210.4154,411.719,6671,1.664019942,1.41
165.01,,7.7576425,12.4562,1023,413,210.311,6038,1.41,
170.01,,3.7115129,13.941,1245,156,428.915,5973,1.22,1.1
173.01,,29.7536112,12.1499,856,233,152.023,6409,1.47,1.41
182.01,,1.76918,11.6236,1780,256,107.399,5569,0.96,
183.01,0.028,3.43,29.77,2139.97,161,213.02,6270.00,2.72,1.34
184.01,,4.817069,24.7178,1483,469,247.441,6380,1.45,1.41
185.01,,0.9414523,15.4874,2324,284,123.483,6400,1.35,1.2
190.01,,10.02059978,11.76791831,972.9644217,216.54204,157.963,6038,1.275269985,1.1
192.01,,3.922715213,6.785695746,847.2408293,202.84079,87.5953,4800,0.635603011,0.88
194.01,,4.899642187,16.24033284,1147.777319,144.4055,211.877,5940,1.503700018,
195.01,,2.072759476,13.33444416,1493.709104,354.0005,151.068,5640,1.12804997,1.01
199.01,,104.873581,9.93046,353,263,102.27,5350,0.88,0.88
201.01,,52.9782176,10.8596,469,342,113.825,6461.8,1.33,1.31
212.01,,0.335272351,4.4688,2823.7,114.26064,,3332,0.3,
216.01,,34.55478644,7.304002376,448.5106448,115.85556,177.945,5025.77,0.801735997,0.84
224.01,,705.5844658,17.17954701,515.743249,261.3266,64.77016,3689,0.486999989,0.522
231.01,,3.361001127,12.72734565,1036.743382,213.4312,197.119,5375,0.817704976,0.93
232.01,,1.338230712,14.83782003,1497.547985,321.36127,267.206,5436,0.894973993,0.97
236.01,,4.534451,23.183789,1435.559122,162.49565,502.927,6421.5,1.47459,1.29
241.01,,1.386651904,12.98116186,1679.40501,131.61345,232.98,6286,1.076609969,1.03
246.01,,7.872893679,15.0953,916.2147815,157.15222,169.272,5070,1.26,
250.01,,1.628429557,12.94941335,1602.744775,154.49292,309.137,5700,1.094099998,1.02
264.01,,2.21674,18.2508,1864,111,434.754,6250,2.66,1.03
267.01,,5.752582171,12.70426483,1368.471096,157.6959,158.66,6180,1.70927,1.14
