"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"159851831","5741.01","","1","4","1","1","3","4","4","1.4","35.9","8.38","0","2","1","PC","PC","10.4514","0.006","1","qlp-s53-ffi","QLP","269.207527","39.223388","-15.803","0.171","11.896","0.143","2459754.333656","0.0045503","24.0004143","0.0002399","3.138","0.391","1.347148","0.00217","1240","1.99862","2.83659","0.253533","6.01946","436","13","86.8854","0.64135","4579","125.5","4.49","0.1","0.8","0.06","","","0.72","0.0840037","25,26,40,52,53","variable host; potential L1 planet","2022-09-01","2022-09-01","2023-04-03"
"258557847","5742.01","","5","5","5","5","5","5","5","9.8","35.6","39.6","0","1","0","EB","FP","10.042","0.006","1","qlp-s53-tois","QLP","278.191584","18.146175","-0.294","0.079","-11.645","0.087","2459765.579293","0.0087042","3.965824","0.0000748","2.911","0.676","0.738552","0.063217","680","58.2236","7.03413","0.519109","624.031","1392","10","438.137","7.3595","6199","156.7","3.62","0.09","2.8","0.14","","","1.19","0.173762","26,40,53","evolved variable host; possible centroid offset; retired as TFOP FP/NEB","2022-09-01","2022-11-30","2022-12-14"
"308300731","5743.01","","3","4","3","3","3","4","4","35.7","178.3","59.62","1","2","1","PC","PC","10.4748","0.006","1","qlp-s53-ffi","QLP","267.904353","24.427455","-20.527","0.03","25.376","0.041","2459759.175152","0.0006069","7.6601547","0.0000167","2.047","0.275","9.552952","0.008542","8760","7.86706","8.93011","0.588219","62.6782","783","52","127.428","0.4135","5250","129.4","4.51","0.08","0.87","0.05","","","0.898","0.109025","26,53","radius possibly underestimated; potentially young host star","2022-09-01","2022-09-01","2023-04-03"
"157768969","5744.01","","2","4","2","2","3","4","4","1.7","19.5","5.04","0","2","1","PC","PC","9.75577","0.006","1","qlp-s53-tois","QLP","147.128216","73.449342","10.912","0.046","15.745","0.046","2459758.400187","0.0088435","5.7488832","0.0000865","5.003","1.705","0.206309","0.023814","190","21.933","2.08943","0.178777","974.493","1556","10","207.057","1.2165","6009","125.8","4.11","0.08","1.54","0.07","","","1.11","0.149981","14,20,21,40,41,47,53","low SNR","2022-09-01","2022-11-30","2023-01-15"
"18016577","5745.01","","2","4","2","2","3","4","4","","","5.55","0","1","1","PC","PC","9.8127","0.006","1","spoc-s14-s50-b0H","SPOC","171.573332","38.22096","-173.475","0.071","17.722","0.13","2459630.305591","0.004102132","","","4.5873679038748","0.67796683","0.937719","0.110276","863.29799203076","101.562775","2.2163959089154","1.408132","0.15933273001024","161.13726903533","8.775896","78.3388","0.34835","5097.94","110.091","4.61197","0.0805973","0.75910198688507","0.0408291","0.027","0.049","0.86","0.098842","22,48","single transit at ~2630 TBJD","2022-09-01","2022-09-01","2023-02-27"
"318209162","5746.01","TIC 318209162.01","3","4","3","3","3","4","4","0","78.1","107.1","0","1","1","PC","PC","10.5295","0.006","1","spoc-s14-s50-b0H","SPOC","142.378244","50.963802","-67.76","0.048","-196.425","0.05","2458891.862067","0.0006691324","711.7642825146","0.000085401334","3.4176442648801","0.046283357","23.019024","0.433068","20978.136786592","398.79102","12.633897205234","1.1483275","2.4542116921505","319.22563149745","62.410282","85.5353","0.235","4661.56","137.074","4.57751","0.104786","0.73264801502228","0.0592965","-0.280335","0.0126844","0.74","0.0912293","21,47","duo transit two years apart; ~711 days in the maximum period; period is likely shorter; v-shaped","2022-09-01","2022-09-01","2023-01-15"
"4918918","5747.01","TIC 4918918.01","2","4","2","2","3","4","4","17.3","18.8","2.85","6","2","1","PC","PC","10.7818","0.008","1","spoc-s14-s50-b02","SPOC","148.37832","35.570548","-87.855","0.078","-177.216","0.071","2458870.47457","0.0007747027","0.57347655188524","0.000013693013","0.90045082942762","0.10233048","0.88892","0.096619","818.39034031906","88.985146","1.4969530642888","0.13053058","225.4185163647","988.25073571913","9.799914","28.5321","0.0512","3466","157","4.80761","0.00448927","0.42090800404549","0.0124246","","","0.41487","0.0201954","21,48","low MES; potential L1 planet","2022-09-01","2022-09-01","2023-04-03"
"407495930","5748.01","","3","4","3","3","3","4","4","25.5","25.2","317","3","0","1","PC","PC","12.9255","0.02","1","qlp-s52-faintsearch","QLP","7.084443","73.107753","2.337","0.028","1.468","0.026","2459738.329356","0.0048434","3.0269043","0.000019","3.819","0.264","7.758093","0.009818","7120","9.04245","14.2605","0.8726","1446.66","1718","15","866.343","12.2525","6154","175.3","4.06","0.08","1.67","0.08","","","1.17","0.167321","18,19,24,25,52","found in faint-star QLP search","2022-09-01","2022-09-01","2023-02-27"
"387329912","5749.01","","3","4","3","3","3","4","4","17.1","39.6","106.85","0","2","1","PC","PC","10.7778","0.008","1","qlp-s52-faintsearch","QLP","309.954211","68.720161","5.888","0.042","9.84","0.04","2459734.363125","0.0032551","5.4328364","0.0000229","7.38","0.315","1.542841","0.00031","1420","0.2853","12.63","0.656937","1693.95","1787","15","609.042","7.6275","6024","133.7","3.43","0.08","3.4","0.17","","","1.12","0.150482","15,16,18,22,24,25,52","found in faint-star QLP search","2022-09-01","2022-09-01","2023-02-27"
"310262516","5750.01","","3","4","4","3","1","4","4","52.9","108.4","110.64","1","0","0","PC","PC","14.6578","0.008","1","qlp-s52-faintsearch","QLP","248.532721","24.322372","13.235","0.053","-16.27","0.061","2459741.118344","0.0023243","1.9044134","0.0001688","0.952","0.195","34.414675","0.226062","31200","208.189","12.8293","1.08033","33.8566","672","13","353.098","4.7425","3952","157","4.62","0.01","0.63","0.02","","","0.613765","0.0207829","51,52","found in faint-star QLP search","2022-09-01","2022-09-01","2023-03-07"
