time,flux,flux_err,time_original,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.5350138556125333,0.9998901545844326,0.000854640919806677,1994.8478287446017,-3.8818788e-04,552523,1214.42203,1583.99601,2.5628898e+04,2.1161043e+01,3.5062744e+03,8.8916121e+00,2.6509867e+04,2.2658907e+01,0,nan,nan,nan,nan,1214.42203,8.1006234e-04,1583.99601,7.0628204e-04,2.1886224e-02,5.9344955e-02
-0.5336249786485051,1.0003779799238095,0.000852548903816135,1994.8492176215657,-3.8819917e-04,552524,1214.43022,1583.99032,2.5600961e+04,2.1108393e+01,3.4988127e+03,8.8705168e+00,2.6521729e+04,2.2602528e+01,0,nan,nan,nan,nan,1214.43022,8.0965605e-04,1583.99032,7.0451881e-04,3.0090619e-02,5.1857676e-02
-0.5322361016844742,0.9992735375770762,0.0008527616540542863,1994.8506064985297,-3.8821046e-04,552525,1214.42516,1583.99627,2.5598773e+04,2.1112850e+01,3.4985435e+03,8.8736897e+00,2.6491432e+04,2.2607302e+01,0,nan,nan,nan,nan,1214.42516,8.0963428e-04,1583.99627,7.0413796e-04,2.3033483e-02,6.1410379e-02
-0.5308472246908867,1.0005476116442638,0.0008530704918178959,1994.8519953755233,-3.8822173e-04,552526,1214.42677,1583.99442,2.5629430e+04,2.1119732e+01,3.4901968e+03,8.8637037e+00,2.6524248e+04,2.2614672e+01,0,nan,nan,nan,nan,1214.42677,8.0968736e-04,1583.99442,7.0282089e-04,2.5412960e-02,5.7645775e-02
-0.5294583477259504,0.999889241459032,0.0008524908194756143,1994.8533842524882,-3.8823302e-04,552527,1214.42416,1583.99238,2.5613182e+04,2.1104658e+01,3.4856294e+03,8.8593407e+00,2.6505893e+04,2.2598532e+01,0,nan,nan,nan,nan,1214.42416,8.0924598e-04,1583.99238,7.0341630e-04,2.3128599e-02,5.5769362e-02
-0.5280694707330447,1.0000787207244746,0.0008525207417384199,1994.8547731294811,-3.8824428e-04,552528,1214.43177,1583.99427,2.5592688e+04,2.1104723e+01,3.4875957e+03,8.8719378e+00,2.6510062e+04,2.2598598e+01,0,nan,nan,nan,nan,1214.43177,8.0996501e-04,1583.99427,7.0358696e-04,3.2053679e-02,5.8032282e-02
-0.526680593740139,0.9999284045765098,0.0008529669301334601,1994.856162006474,-3.8825555e-04,552529,1214.42565,1583.99756,2.5624180e+04,2.1115129e+01,3.4753113e+03,8.8600206e+00,2.6505277e+04,2.2609741e+01,0,nan,nan,nan,nan,1214.42565,8.0860819e-04,1583.99756,7.0353568e-04,2.3956966e-02,6.4915955e-02
-0.5252917167751999,0.9997957688704032,0.0008517822175860025,1994.857550883439,-3.8826684e-04,552530,1214.42595,1583.98812,2.5582125e+04,2.1085203e+01,3.4670652e+03,8.8515244e+00,2.6501008e+04,2.2577698e+01,0,nan,nan,nan,nan,1214.42595,8.0901408e-04,1583.98812,7.0298114e-04,2.6540086e-02,5.1663652e-02
-0.5239028397816125,0.9995241411756987,0.0008530388536558867,1994.8589397604326,-3.8827810e-04,552531,1214.42744,1583.99122,2.5588920e+04,2.1115749e+01,3.4763347e+03,8.8618689e+00,2.6493104e+04,2.2610407e+01,0,nan,nan,nan,nan,1214.42744,8.0963352e-04,1583.99122,7.0462644e-04,2.5954362e-02,5.3871006e-02
-0.5225139627884804,1.0016411927626154,0.0008525020937404012,1994.8603286374257,-3.8828937e-04,552532,1214.42540,1583.99562,2.5652721e+04,2.1101936e+01,3.4596394e+03,8.8357296e+00,2.6548559e+04,2.2595615e+01,0,nan,nan,nan,nan,1214.42540,8.0750964e-04,1583.99562,7.0257380e-04,2.4750529e-02,6.1280888e-02
-0.5211250858244522,0.9980974566214387,0.0008511619787065991,1994.8617175143897,-3.8830066e-04,552533,1214.42558,1583.99215,2.5527592e+04,2.1068279e+01,3.4717148e+03,8.8405304e+00,2.6454018e+04,2.2559574e+01,0,nan,nan,nan,nan,1214.42558,8.1043300e-04,1583.99215,7.0557842e-04,2.5318963e-02,5.5326149e-02
-0.5197362088304093,0.9986501849015037,0.0008517624134467724,1994.8631063913838,-3.8831192e-04,552534,1214.42654,1583.99026,2.5578824e+04,2.1082685e+01,3.4614568e+03,8.8386154e+00,2.6468096e+04,2.2575003e+01,0,nan,nan,nan,nan,1214.42654,8.0865854e-04,1583.99026,7.0297538e-04,2.5970059e-02,5.2404691e-02
-0.5183473318368218,1.0008349094364495,0.0008522811609347978,1994.8644952683774,-3.8832318e-04,552535,1214.42956,1583.99154,2.5632613e+04,2.1095104e+01,3.4527173e+03,8.8360672e+00,2.6525469e+04,2.2588299e+01,0,nan,nan,nan,nan,1214.42956,8.0814812e-04,1583.99154,7.0237461e-04,2.8744210e-02,5.5128869e-02
-0.5169584548436897,1.0009019259888436,0.0008525994645382463,1994.8658841453705,-3.8833445e-04,552536,1214.42369,1583.99038,2.5634930e+04,2.1102592e+01,3.4446211e+03,8.8631887e+00,2.6526752e+04,2.2596317e+01,0,nan,nan,nan,nan,1214.42369,8.0750458e-04,1583.99038,7.0199464e-04,2.3475794e-02,5.4302953e-02
-0.5155695778796588,1.0001890748568418,0.0008520922264910211,1994.8672730223345,-3.8834574e-04,552537,1214.42940,1583.98974,2.5607879e+04,2.1089678e+01,3.4388293e+03,8.8223658e+00,2.6507412e+04,2.2582489e+01,0,nan,nan,nan,nan,1214.42940,8.0800283e-04,1583.98974,7.0333888e-04,2.8258320e-02,5.3560309e-02
-0.5141807008860714,0.9992415076882947,0.0008528596686627537,1994.8686618993281,-3.8835700e-04,552538,1214.42690,1584.00071,2.5604188e+04,2.1108343e+01,3.4410103e+03,8.8505878e+00,2.6481885e+04,2.2602474e+01,0,nan,nan,nan,nan,1214.42690,8.0913317e-04,1584.00071,7.0446369e-04,2.5557747e-02,6.7298934e-02
-0.5127918238920312,1.0013176135933963,0.0008525037379483639,1994.8700507763222,-3.8836827e-04,552539,1214.42731,1583.98780,2.5629545e+04,2.1099232e+01,3.4304880e+03,8.8333645e+00,2.6536527e+04,2.2592720e+01,0,nan,nan,nan,nan,1214.42731,8.0903992e-04,1583.98780,7.0296990e-04,2.7678994e-02,4.9293004e-02
-0.5114029468988964,1.0000115369576499,0.00085206513789745,1994.8714396533153,-3.8837953e-04,552540,1214.42311,1583.99393,2.5609377e+04,2.1088104e+01,3.4278066e+03,8.8340864e+00,2.6501568e+04,2.2580803e+01,0,nan,nan,nan,nan,1214.42311,8.0819754e-04,1583.99393,7.0327637e-04,2.1632934e-02,5.7514988e-02
-0.5100140699057644,1.001494097069621,0.0008522753055993789,1994.8728285303084,-3.8839079e-04,552541,1214.42603,1583.99210,2.5640277e+04,2.1093058e+01,3.4293596e+03,8.8598537e+00,2.6540547e+04,2.2586109e+01,0,nan,nan,nan,nan,1214.42603,8.0645643e-04,1583.99210,7.0110778e-04,2.5422411e-02,5.6035902e-02
-0.5086251929121769,0.9989533434260531,0.0008512725262852246,1994.874217407302,-3.8840206e-04,552542,1214.42190,1583.99100,2.5576592e+04,2.1068016e+01,3.4185127e+03,8.8217516e+00,2.6472938e+04,2.2559296e+01,0,nan,nan,nan,nan,1214.42190,8.0799137e-04,1583.99100,7.0359814e-04,2.0968331e-02,5.5578768e-02
-0.5072363159190448,1.0003247182733952,0.0008509686612282523,1994.8756062842951,-3.8841332e-04,552543,1214.42830,1583.99182,2.5598551e+04,2.1060301e+01,3.4195059e+03,8.8115292e+00,2.6509033e+04,2.2551033e+01,0,nan,nan,nan,nan,1214.42830,8.0752862e-04,1583.99182,7.0191734e-04,2.7373444e-02,5.5108361e-02
-0.5058474388968089,0.9996881914533083,0.0008510949532517129,1994.8769951613174,-3.8842455e-04,552544,1214.43566,1584.01163,2.5595721e+04,2.1063253e+01,3.4068320e+03,8.8057928e+00,2.6491943e+04,2.2554193e+01,0,nan,nan,nan,nan,1214.43566,8.0775167e-04,1584.01163,7.0502242e-04,3.4717754e-02,8.1245206e-02
-0.5044585619032215,1.0000855054878575,0.0008526316093581251,1994.878384038311,-3.8843582e-04,552545,1214.42910,1583.99545,2.5582547e+04,2.1101130e+01,3.3983010e+03,8.9132061e+00,2.6502283e+04,2.2594753e+01,0,nan,nan,nan,nan,1214.42910,8.0920267e-04,1583.99545,7.0284092e-04,2.7255980e-02,6.1287854e-02
-0.5030696849091786,0.9993500145120897,0.0008503200435795521,1994.879772915305,-3.8844708e-04,552546,1214.42510,1583.99387,2.5595744e+04,2.1043793e+01,3.4018501e+03,8.7931852e+00,2.6482631e+04,2.2533358e+01,0,nan,nan,nan,nan,1214.42510,8.0656935e-04,1583.99387,7.0188992e-04,2.3959475e-02,5.8795344e-02
-0.5016808079160465,1.0001228317001798,0.0008518265427547969,1994.8811617922981,-3.8845834e-04,552547,1214.42779,1583.99401,2.5613154e+04,2.1080967e+01,3.3932917e+03,8.8466845e+00,2.6502971e+04,2.2573162e+01,0,nan,nan,nan,nan,1214.42779,8.0633722e-04,1583.99401,7.0107833e-04,2.6460735e-02,5.8759775e-02
-0.5002919309229118,1.0015200171370482,0.0008506483338105588,1994.8825506692913,-3.8846961e-04,552548,1214.42753,1583.98860,2.5631070e+04,2.1051720e+01,3.3860701e+03,8.7775993e+00,2.6539883e+04,2.2541845e+01,0,nan,nan,nan,nan,1214.42753,8.0599933e-04,1583.98860,7.0027978e-04,2.4425017e-02,5.1668670e-02
-0.4989030539002205,0.9996366105986108,0.0008502342607748257,1994.883939546314,-3.8848084e-04,552549,1214.43161,1583.99327,2.5567170e+04,2.1041401e+01,3.3891333e+03,8.8053732e+00,2.6489887e+04,2.2530796e+01,0,nan,nan,nan,nan,1214.43161,8.0794888e-04,1583.99327,7.0228317e-04,3.1120341e-02,5.6011118e-02
-0.49751417690640665,1.0001232417127421,0.0008506650485813989,1994.8853284233078,-3.8849210e-04,552550,1214.42460,1583.99511,2.5623385e+04,2.1052010e+01,3.3756968e+03,8.8054132e+00,2.6502717e+04,2.2542156e+01,0,nan,nan,nan,nan,1214.42460,8.0582465e-04,1583.99511,7.0020440e-04,2.3258006e-02,5.9231266e-02
-0.49612529991350096,0.9996743184534497,0.0008503331987577106,1994.8867173003007,-3.8850337e-04,552551,1214.42329,1583.98518,2.5562424e+04,2.1043762e+01,3.3802908e+03,8.8020411e+00,2.6490775e+04,2.2533325e+01,0,nan,nan,nan,nan,1214.42329,8.0780807e-04,1583.98518,7.0291472e-04,2.2697102e-02,4.5363955e-02
-0.49473642289126507,0.9987784353130221,0.0008492550399593072,1994.888106177323,-3.8851460e-04,552552,1214.42280,1583.99349,2.5473824e+04,2.1017065e+01,3.3710918e+03,8.8180180e+00,2.6467012e+04,2.2504736e+01,0,nan,nan,nan,nan,1214.42280,8.0907240e-04,1583.99349,7.0834806e-04,2.1475287e-02,5.5875607e-02
-0.4933475458972222,1.0000148781065021,0.0008508495991741067,1994.889495054317,-3.8852586e-04,552553,1214.43414,1583.99514,2.5608467e+04,2.1056524e+01,3.3572246e+03,8.7884398e+00,2.6499773e+04,2.2546988e+01,0,nan,nan,nan,nan,1214.43414,8.0828829e-04,1583.99514,7.0171623e-04,3.3315849e-02,6.0708303e-02
-0.4919586688745309,1.0001399069426962,0.0008496720592275974,1994.8908839313397,-3.8853710e-04,552554,1214.42370,1583.98720,2.5581605e+04,2.1027391e+01,3.3581396e+03,8.7818756e+00,2.6503100e+04,2.2515795e+01,0,nan,nan,nan,nan,1214.42370,8.0599240e-04,1583.98720,7.0269190e-04,2.2383485e-02,4.8763953e-02
-0.4905697918813988,0.9993677950345412,0.0008493392517199118,1994.8922728083328,-3.8854836e-04,552555,1214.42809,1583.99134,2.5564193e+04,2.1019182e+01,3.3415544e+03,8.7771597e+00,2.6482674e+04,2.2507004e+01,0,nan,nan,nan,nan,1214.42809,8.0608285e-04,1583.99134,7.0202653e-04,2.7356021e-02,5.3037636e-02
