TOI101.01, 1/32
TOI1045.01, 3/6
TOI1059.01, 4/6
TOI1070.01, 7/18
TOI1076.01, 1/20
TOI1085.01, 1/90
TOI112.01, 1/108
TOI1135.01, 10/21
TOI1141.01, 4/16
TOI1152.01, 1/13
TOI1190.01, 46/84
TOI1236.01, 1/33
TOI1251.01, 48/79
TOI1254.01, 2/446
TOI1268.01, 3/17
TOI1282.01, 1/65
TOI1299.01, 37/82
TOI1307.01, 2/102
TOI1310.01, 2/8
TOI1351.01, 38/82
TOI1388.01, 2/6
TOI1401.01, 20/45
TOI1425.01, 9/82
TOI1454.01, 13/35
TOI1465.01, 3/141
TOI157.01, 1/180
TOI1644.01, 5/43
TOI1647.01, 7/14
TOI1809.01, 3/6
TOI1815.01, 1/81
TOI1829.01, 19/40
TOI1830.01, 5/8
TOI1833.01, 1/13
TOI1845.01, 2/67
TOI1864.01, 3/190
TOI1874.01, 3/15
TOI1877.01, 6/69
TOI1884.01, 1/42
TOI1936.01, 2/9
TOI1937.01, 17/66
TOI2119.01, 2/11
TOI212.01, 110/272
TOI2126.01, 2/93
TOI2127.01, 1/7
TOI216.01, 3/16
TOI2222.01, 1/121
TOI2258.01, 7/32
TOI236.01, 1/13
TOI241.01, 9/31
TOI2461.01, 1/12
TOI2464.01, 7/12
TOI2562.01, 2/41
TOI2574.01, 2/25
TOI3589.01, 1/8
TOI3604.01, 14/24
TOI3612.01, 2/49
TOI368.01, 4/14
TOI3846.01, 1/29
TOI3849.01, 2/18
TOI387.01, 1/4
TOI3910.01, 1/5
TOI3960.01, 7/63
TOI4059.01, 13/100
TOI418.01, 2/27
TOI4381.01, 17/17
TOI4436.01, 1/52
TOI447.01, 6/12
TOI4470.01, 1/20
TOI4618.01, 2/17
TOI472.01, 11/75
TOI495.01, 1/54
TOI507.01, 37/51
TOI5091.01, 2/10
TOI5093.01, 1/20
TOI5096.01, 2/22
TOI590.01, 1/3
TOI632.01, 14/149
TOI655.01, 4/54
TOI738.01, 1/101
TOI780.01, 1/13
TOI841.01, 1/52
TOI858.01, 1/19
TOI862.01, 31/44
TOI934.01, 1/65
TOI966.01, 5/7
TOI984.01, 2/4
