TOI101.01, 1/32
TOI1012.01, 0/26
TOI1019.01, 0/12
TOI102.01, 0/121
TOI1025.01, 0/9
TOI1041.01, 0/6
TOI1045.01, 3/6
TOI105.01, 0/21
TOI1050.01, 0/12
TOI1059.01, 4/6
TOI106.01, 0/190
TOI1069.01, 0/14
TOI107.01, 0/12
TOI1070.01, 7/18
TOI1076.01, 1/20
TOI1085.01, 1/90
TOI1092.01, 0/21
TOI1107.01, 0/12
TOI112.01, 1/108
TOI1135.01, 10/21
TOI114.01, 0/160
TOI1141.01, 4/16
TOI1142.01, 0/36
TOI1143.01, 0/8
TOI1144.01, 0/31
TOI1148.01, 0/32
TOI1150.01, 0/56
TOI1151.01, 0/24
TOI1152.01, 1/13
TOI116.01, 0/25
TOI1161.01, 0/109
TOI1163.01, 0/28
TOI1165.01, 0/103
TOI1169.01, 0/12
TOI1173.01, 0/22
TOI1176.01, 0/39
TOI1181.01, 0/151
TOI1182.01, 0/6
TOI1186.01, 0/21
TOI1190.01, 46/84
TOI1194.01, 0/72
TOI1198.01, 0/11
TOI1229.01, 0/9
TOI123.01, 0/12
TOI1236.01, 1/33
TOI1248.01, 0/118
TOI1251.01, 48/79
TOI1254.01, 2/446
TOI1257.01, 0/11
TOI1259.01, 0/114
TOI1264.01, 0/159
TOI1265.01, 0/64
TOI1268.01, 3/17
TOI1274.01, 0/24
TOI1282.01, 1/65
TOI129.01, 0/87
TOI1295.01, 0/103
TOI1297.01, 0/6
TOI1298.01, 0/72
TOI1299.01, 37/82
TOI1300.01, 0/16
TOI1302.01, 0/32
TOI1307.01, 2/102
TOI1310.01, 2/8
TOI1312.01, 0/9
TOI1337.01, 0/7
TOI1341.01, 0/12
TOI1344.01, 0/41
TOI135.01, 0/15
TOI1351.01, 38/82
TOI1365.01, 0/11
TOI1371.01, 0/4
TOI1385.01, 0/13
TOI1388.01, 2/6
TOI1401.01, 20/45
TOI1419.01, 0/19
TOI1420.01, 0/11
TOI1425.01, 9/82
TOI143.01, 0/17
TOI1431.01, 0/38
TOI1454.01, 13/35
TOI1455.01, 0/23
TOI1456.01, 0/4
TOI1458.01, 0/6
TOI1465.01, 3/141
TOI147.01, 0/82
TOI1494.01, 0/4
TOI150.01, 0/60
TOI157.01, 1/180
TOI159.01, 0/24
TOI1612.01, 0/51
TOI1615.01, 0/9
TOI1627.01, 0/25
TOI1628.01, 0/79
TOI163.01, 0/87
TOI1644.01, 5/43
TOI1645.01, 0/9
TOI1647.01, 7/14
TOI1649.01, 0/19
TOI165.01, 0/26
TOI1651.01, 0/30
TOI1670.01, 0/7
TOI1676.01, 0/6
TOI1682.01, 0/31
TOI170.01, 0/29
TOI1709.01, 0/4
TOI1714.01, 0/29
TOI1718.01, 0/19
TOI1720.01, 0/17
TOI1721.01, 0/10
TOI1725.01, 0/80
TOI173.01, 0/3
TOI1731.01, 0/10
TOI1766.01, 0/17
TOI1767.01, 0/5
TOI1771.01, 0/14
TOI1787.01, 0/3
TOI1800.01, 0/10
TOI1809.01, 3/6
TOI1810.01, 0/30
TOI1811.01, 0/11
TOI1815.01, 1/81
TOI182.01, 0/26
TOI1823.01, 0/3
TOI1825.01, 0/34
TOI1826.01, 0/75
TOI1829.01, 19/40
TOI183.01, 0/27
TOI1830.01, 5/8
TOI1833.01, 1/13
TOI184.01, 0/55
TOI1840.01, 0/4
TOI1841.01, 0/14
TOI1844.01, 0/13
TOI1845.01, 2/67
TOI185.01, 0/90
TOI1859.01, 0/7
TOI1864.01, 3/190
TOI1874.01, 3/15
TOI1877.01, 6/69
TOI1884.01, 1/42
TOI1898.01, 0/3
TOI190.01, 0/8
TOI1909.01, 0/17
TOI192.01, 0/11
TOI1924.01, 0/16
TOI1934.01, 0/4
TOI1936.01, 2/9
TOI1937.01, 17/66
TOI194.01, 0/10
TOI195.01, 0/22
TOI1951.01, 0/6
TOI1970.01, 0/17
TOI1976.01, 0/3
TOI199.01, 0/4
TOI2000.01, 0/6
TOI201.01, 0/11
TOI2012.01, 0/13
TOI2017.01, 0/6
TOI2020.01, 0/16
TOI2021.01, 0/7
TOI2025.01, 0/12
TOI2031.01, 0/7
TOI2040.01, 0/6
TOI2109.01, 0/18
TOI2119.01, 2/11
TOI212.01, 110/272
TOI2124.01, 0/32
TOI2126.01, 2/93
TOI2127.01, 1/7
TOI2129.01, 0/21
TOI2131.01, 0/42
TOI2135.01, 0/32
TOI2137.01, 0/5
TOI2140.01, 0/47
TOI2154.01, 0/17
TOI2159.01, 0/7
TOI216.01, 3/16
TOI2197.01, 0/4
TOI2200.01, 0/89
TOI2218.01, 0/723
TOI2222.01, 1/121
TOI2251.01, 0/26
TOI2258.01, 7/32
TOI231.01, 0/13
TOI2310.01, 0/49
TOI232.01, 0/47
TOI2351.01, 0/4
TOI236.01, 1/13
TOI2380.01, 0/7
TOI2403.01, 0/31
TOI241.01, 9/31
TOI2442.01, 0/3
TOI246.01, 0/9
TOI2461.01, 1/12
TOI2464.01, 7/12
TOI250.01, 0/27
TOI2547.01, 0/38
TOI2562.01, 2/41
TOI2570.01, 0/14
TOI2574.01, 2/25
TOI2579.01, 0/20
TOI264.01, 0/34
TOI267.01, 0/10
TOI272.01, 0/12
TOI336.01, 0/6
TOI3460.01, 0/5
TOI349.01, 0/9
TOI3589.01, 1/8
TOI3604.01, 14/24
TOI3612.01, 2/49
TOI368.01, 4/14
TOI3791.01, 0/42
TOI3822.01, 0/7
TOI3846.01, 1/29
TOI3849.01, 2/18
TOI3856.01, 0/9
TOI387.01, 1/4
TOI3883.01, 0/6
TOI3889.01, 0/7
TOI3894.01, 0/4
TOI391.01, 0/20
TOI3910.01, 1/5
TOI3922.01, 0/8
TOI395.01, 0/8
TOI3960.01, 7/63
TOI398.01, 0/29
TOI404.01, 0/15
TOI4059.01, 13/100
TOI4087.01, 0/35
TOI4103.01, 0/6
TOI413.01, 0/24
TOI4137.01, 0/12
TOI4138.01, 0/39
TOI4140.01, 0/12
TOI4145.01, 0/11
TOI4153.01, 0/5
TOI416.01, 0/5
TOI418.01, 2/27
TOI423.01, 0/15
TOI427.01, 0/40
TOI433.01, 0/40
TOI4381.01, 17/17
TOI4420.01, 0/6
