TOI,depth,sigma
TOI101.01,0.9725812170479896,0.002205368013253363
TOI1012.01,0.9975580528620736,0.00019837908635566428
TOI1019.01,0.9751130635917048,0.0008590568897384517
TOI102.01,0.9858832430381432,0.00014115574824209763
TOI105.01,0.9873949193210687,0.0003864744936569447
TOI1050.01,0.9809309627975362,0.0010166083876993002
TOI106.01,0.9922286532037778,0.0001553982247817425
TOI107.01,0.9850108869912837,0.0005211823412842014
TOI1076.01,0.9826590611273506,0.0011174402290532012
TOI1107.01,0.992371265306413,0.0004784499401745762
TOI112.01,0.9838514762138119,0.00048476223958606054
TOI114.01,0.9926033091154158,0.0002028332184488294
TOI1144.01,0.994281592876411,0.0003212009368960341
TOI1148.01,0.99101805313886,0.00010718622286911399
TOI1150.01,0.9922389402825688,8.349056045955594e-05
TOI1151.01,0.9851889450096126,0.00012666543018746465
TOI1152.01,0.9929119897416766,0.00040836324113466326
TOI116.01,0.9813059338478489,0.000926658149323196
TOI1161.01,0.988320918006734,0.0005900355555315357
TOI1165.01,0.9800831825153965,0.0002341840144087321
TOI1169.01,0.9796193716192142,0.00137537257344845
TOI1173.01,0.9885163875425818,0.0006495375656563531
TOI1176.01,0.9930567863108092,0.00032586915765297196
TOI1181.01,0.9930191951598476,0.00019410870674289757
TOI1190.01,0.9919053205461945,0.0002055393338067261
TOI1194.01,0.9922619856161496,0.0005102969173917462
TOI1236.01,0.9730117433661386,0.0011414105267861254
TOI1248.01,0.9930280647317027,0.0005249013630374402
TOI1251.01,0.9888767810744576,0.0004216152706383496
TOI1257.01,0.9891060534394478,0.0008401651254317753
TOI1259.01,0.9718358708432567,0.0005349864412754361
TOI1264.01,0.9935268705074483,0.0004558065608605271
TOI1265.01,0.9925517771933359,0.00030407743241051075
TOI1268.01,0.9878080475592809,0.0005272363813444955
TOI1274.01,0.9844948660265112,0.0013479323168328046
TOI1282.01,0.9827177407937804,0.0013083403628432846
TOI1295.01,0.991262964909189,0.00039622868899300126
TOI1298.01,0.9949103916086062,0.000513879028175063
TOI1300.01,0.9911255995844361,0.00039911787513146626
TOI1302.01,0.9889866201859951,0.0006606554414780173
TOI1307.01,0.9937645454210263,0.0005133404905956207
TOI1337.01,0.9844719447724407,0.0007290164414436687
TOI135.01,0.9888520789347908,0.00028696398321926913
TOI1351.01,0.9846105442521945,0.0004947464518600666
TOI1419.01,0.9848384699163895,0.0009661078518097995
TOI1420.01,0.9785430282537917,0.001979122953516745
TOI143.01,0.9919636600070477,0.00043758168633789275
TOI1431.01,0.9931126559406441,0.00019475960759336074
TOI1456.01,0.9930558491360474,0.00031653862263730434
TOI1458.01,0.9806233738808661,0.0010224646961676117
TOI1465.01,0.974083180180381,0.0010179350509678473
TOI1494.01,0.9902542032010373,0.0011877948988025175
TOI150.01,0.9925918700295021,0.0003005813014079013
TOI157.01,0.9854538068654785,0.0005969520662305294
TOI159.01,0.986029343769287,0.0005471911718407508
TOI1612.01,0.990257227817327,0.00040354159318272765
