Signal-to-noise,Source Pipeline,TIC,Full TOI ID,TOI Disposition
175.47505,spoc,238176110,116.01,KP
186.92476,spoc,149603524,102.01,KP
1000,qlp,66497310,343.01,PC
139.25148,spoc,8767448,1767.01,KP
342,qlp,427761355,1518.01,PC
1000,qlp,142087638,2404.01,PC
1000,qlp,364393429,1207.01,PC
1000,qlp,237920046,873.01,PC
1000,qlp,382437043,1223.01,PC
1000,qlp,42054565,280.01,PC
1000,qlp,374997123,1222.01,PC
1000,qlp,149601126,2525.02,PC
1000,qlp,38510224,711.01,PC
1000,qlp,30037565,1209.01,PC
1000,qlp,149302744,699.01,PC
1000,qlp,144297844,2394.01,PC
1000,qlp,382625239,2388.01,PC
1000,qlp,224271611,347.01,PC
1000,qlp,177115354,1226.01,PC
1000,qlp,141527965,1216.01,PC
1000,qlp,261108236,1082.01,PC
1000,qlp,257605131,451.01,PC
1000,qlp,684936227,2412.01,PC
1000,qlp,358460246,867.01,PC
1000,qlp,77156829,696.02,PC
1000,qlp,38460940,805.01,PC
1000,qlp,388106759,810.01,PC
1000,qlp,349829627,788.01,PC
1000,qlp,237914496,702.01,PC
1000,qlp,391904697,705.01,PC
1000,qlp,300710077,789.01,PC
1000,qlp,120896927,402.01,PC
1000,qlp,150428703,1225.01,PC
1000,qlp,54002556,1847.02,PC
1000,qlp,30853470,807.01,PC
650.8426,spoc,458478250,1165.01,KP
548.62604,spoc,288735205,1259.01,PC
437,qlp,381979901,1085.01,EB
339.0261,spoc,300871545,184.01,PC
337.59433,spoc,52280468,472.01,PC
320,qlp,387259626,1455.01,PC
320,qlp,199688472,1292.01,PC
309.28363,spoc,36734222,656.01,KP
304.75153,spoc,69679391,1151.01,KP
296.1078,spoc,183979262,183.01,PC
296,qlp,47911178,471.01,KP
295.0466,spoc,43647325,423.01,KP
295,qlp,259151170,1567.01,PC
294.5993,spoc,293435336,2403.01,KP
294,qlp,168871868,2442.01,EB
294,qlp,267263253,135.01,PC
288,qlp,429302040,1905.01,KP
285,qlp,374908020,1029.01,PC
284,qlp,100100827,185.01,KP
280.14877,spoc,236887394,1465.01,KP
276.0192,spoc,375506058,1431.01,PC
272,qlp,372264750,1355.01,PC
269.2508,spoc,236387002,2119.01,PC
267,qlp,293687315,1300.01,KP
260,qlp,371443216,1924.01,KP
260,qlp,470127886,2031.01,PC
256.56943,spoc,252479260,1771.01,KP
256,qlp,76989773,182.01,PC
255,qlp,350618622,201.01,PC
254,qlp,394561119,1107.01,PC
251.64719,spoc,138168780,1651.01,KP
243.00954,spoc,67646988,1779.01,KP
234,qlp,393414358,483.01,KP
